SA1_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
80101100101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,4,0,4,6,0,0,0,17,0,0,0,0,3,3,4,0,0,9,0,0,0,8,6,4,0,0,0,15,0,0,0,0,0,0,0,0,0,3,8,9,11,13,18,19,11,9,3,91,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6
80101100102,3,4,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,6,0,0,0,0,0,0,9,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,7,0,0,0,5,3,0,6,0,0,7,0,5,3,0,0,0,0,0,0,10,0,0,3,0,0,0,0,4,0,5,0,0,5,0,0,5,0,0,0,12,0,0,4,4,17,5,0,6,0,29,0,0,0,0,0,4,0,0,0,3,0,0,0,7,8,7,0,0,0,26,0,4,0,0,0,0,0,4,0,9,11,18,18,20,34,25,15,17,5,166,6,0,0,4,0,0,0,0,0,10,3,4,0,0,0,0,4,0,0,10,9,0,0,0,0,0,0,0,0,8
80101100103,0,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,3,3,0,10,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,9,5,0,3,0,0,0,17,0,0,4,8,3,0,0,0,0,10,0,0,3,0,0,0,0,0,0,10,0,0,0,9,3,6,0,0,0,10,0,5,4,14,6,4,3,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,8,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,11,30,34,19,24,9,7,0,141,0,0,3,0,3,0,0,0,0,13,4,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,3,0,12
80101100104,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,4,0,11,0,4,3,0,0,0,0,4,0,12,0,0,0,0,0,3,5,0,0,13,0,0,10,0,0,3,0,0,0,20,0,0,0,3,0,9,0,0,0,18,0,0,5,3,5,4,0,0,0,14,0,0,0,12,10,3,3,7,0,28,0,0,0,3,5,4,0,0,0,8,0,0,0,7,6,7,0,0,0,27,0,0,0,0,0,3,0,3,0,3,15,16,31,27,30,36,19,17,3,198,6,0,3,0,0,6,0,0,0,13,10,6,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,9
80101100105,10,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,3,0,11,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,3,0,5,0,15,0,4,5,0,0,0,5,5,0,20,0,0,4,0,0,4,0,3,0,9,0,0,3,0,0,5,4,0,0,19,0,0,4,7,17,5,7,3,0,48,0,0,0,0,8,0,0,0,0,13,0,0,0,13,3,6,0,0,0,30,0,0,0,4,0,0,0,0,0,11,14,21,28,29,32,35,22,26,9,224,9,0,0,0,4,0,0,0,0,17,5,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,3
80101100106,7,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,5,0,0,7,0,0,7,5,0,0,3,0,0,19,0,0,0,0,4,3,7,5,0,17,0,0,11,0,3,0,0,5,0,20,0,0,3,0,0,0,0,0,0,10,0,0,4,8,8,15,5,0,0,43,0,0,0,0,0,0,0,0,0,9,0,0,0,5,8,11,4,0,0,24,0,0,3,0,0,0,0,0,0,6,16,15,30,29,33,27,21,18,7,192,11,4,0,0,3,0,6,0,0,17,0,0,0,0,0,0,4,0,0,5,3,0,0,0,0,0,0,5,0,8
80101100201,5,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,10,6,3,3,0,0,0,0,0,0,18,0,0,3,0,3,0,0,0,0,16,0,4,0,6,0,0,0,0,0,15,0,8,0,6,0,0,0,0,0,13,0,3,8,4,3,0,4,0,0,14,0,0,9,8,0,0,0,0,0,19,0,4,8,0,0,0,0,0,0,10,0,0,12,9,6,0,0,0,0,29,0,0,3,5,0,0,0,0,0,4,0,0,6,9,5,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,4,3,0,3,0,0,16,9,36,58,42,28,13,6,7,0,196,6,4,9,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,12
80101100202,0,0,0,3,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,10,0,4,3,4,0,0,0,0,0,12,0,0,10,6,0,0,3,0,0,19,0,0,10,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,10,0,0,6,4,4,6,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,5,5,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,6,11,37,42,22,9,5,7,0,138,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3
80101100203,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,3,0,0,0,0,3,0,0,9,0,6,13,0,0,0,3,0,0,19,0,4,17,0,0,0,0,0,0,22,0,4,19,0,6,0,0,0,0,36,0,4,30,10,7,0,0,0,0,46,0,8,21,5,3,0,0,0,0,40,0,3,19,9,0,0,0,0,0,37,0,0,9,9,4,0,0,0,0,28,0,0,18,16,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,4,0,0,0,9,0,0,5,7,0,0,0,0,0,10,3,47,149,67,29,11,10,5,3,327,0,6,11,6,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,12
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,13,0,0,3,3,3,0,0,0,0,16,0,0,4,5,0,0,0,0,0,18,0,3,6,0,0,0,0,0,0,16,0,0,6,6,4,4,0,0,0,14,0,0,3,7,0,0,0,0,0,16,0,0,3,7,4,0,0,0,0,23,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,4,13,40,40,26,15,15,5,0,155,4,0,0,3,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,4,0,0,10
80101100209,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,3,0,0,0,17,0,3,0,5,0,0,0,0,0,11,0,0,3,0,3,0,0,0,0,9,0,4,7,3,0,0,0,0,0,10,0,3,4,3,0,0,0,0,0,7,0,4,10,4,0,3,0,0,0,23,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,9,8,18,37,24,16,16,8,0,0,125,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,4
80101100210,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,10,0,3,3,0,3,0,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,3,0,0,4,0,0,4,0,16,0,0,6,0,0,4,0,3,0,15,0,0,6,4,0,4,0,0,0,16,0,0,7,5,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,5,0,0,4,6,6,6,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,16,4,9,40,30,22,16,16,15,6,157,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,8,0,0,0,3,0,0,0,0,0,11
80101100211,3,0,0,7,0,0,3,0,0,17,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,3,0,0,0,15,0,0,6,0,3,4,7,0,0,23,0,6,7,0,3,3,0,0,0,17,6,7,7,0,0,0,0,0,0,21,0,5,12,10,0,0,0,0,0,35,0,0,18,5,6,0,0,0,0,34,0,8,11,10,0,3,0,0,0,39,0,0,14,5,0,0,0,0,0,18,0,0,9,0,0,0,0,0,0,7,0,4,6,3,4,5,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,7,11,34,97,53,34,20,14,3,0,261,3,0,9,0,0,0,0,0,0,26,3,0,3,7,0,0,0,0,0,9,0,0,6,3,0,0,0,0,0,7
80101100212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,0,0,4,16,27,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,9,3,19,0,5,8,0,0,0,4,12,6,37,0,0,4,0,0,0,3,3,0,21,0,0,3,4,0,0,0,3,0,12,0,0,0,3,0,0,0,0,0,9,0,0,0,6,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,6,0,5,0,13,0,0,0,0,0,0,0,3,9,18,0,17,26,18,10,7,16,44,48,195,0,0,4,5,0,0,0,0,5,9,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,4,6,3,15
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100215,6,4,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,21,0,7,7,0,0,0,0,0,0,17,0,3,19,3,0,0,0,0,0,30,0,6,22,4,0,0,0,0,0,37,0,4,17,0,0,0,0,0,0,24,0,5,23,9,3,0,0,0,0,33,0,0,9,6,0,0,0,0,0,17,0,0,28,16,4,0,0,0,0,50,0,0,3,3,0,0,0,0,0,8,0,0,3,0,5,0,0,0,0,9,0,0,13,0,0,0,0,0,0,18,4,35,159,39,14,7,8,3,0,271,0,7,11,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
80101100216,4,24,24,4,0,4,0,0,0,60,3,0,8,0,0,0,0,0,0,3,0,9,6,0,0,0,0,0,0,12,0,5,14,4,0,0,0,0,0,25,0,4,8,3,0,0,0,0,0,20,0,13,29,0,0,0,0,0,0,44,0,12,15,5,0,0,0,0,0,37,0,22,54,4,0,0,3,0,0,86,0,29,61,8,0,0,0,0,0,107,0,10,45,6,0,3,0,0,0,70,0,6,30,6,3,0,0,0,0,49,0,3,15,4,5,0,0,0,0,31,0,3,28,6,12,6,0,0,0,52,0,0,0,0,0,0,0,0,0,12,0,0,8,3,4,6,0,0,0,15,3,13,32,0,9,0,0,0,0,60,19,167,380,58,34,16,4,0,0,678,3,29,34,6,6,3,0,0,0,79,0,3,8,0,0,0,0,0,0,17,0,5,4,0,0,5,0,0,0,9
80101100217,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,9,0,0,8,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,11,0,0,10,3,0,0,0,0,0,17,0,0,14,0,0,0,0,0,0,17,0,0,14,0,4,0,0,0,0,23,0,0,7,0,5,0,0,0,0,16,0,0,6,3,3,4,0,0,0,15,0,0,5,14,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,11,0,15,93,26,13,14,8,3,0,179,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80101100218,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,9,0,5,4,0,0,0,0,0,0,10,0,4,6,3,0,0,0,0,0,17,3,6,13,4,5,0,0,0,0,24,0,0,21,3,0,0,0,0,0,30,0,6,19,3,0,0,3,0,0,31,0,3,13,6,5,0,0,0,0,28,0,3,6,12,4,0,0,0,0,29,0,0,13,10,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,3,3,7,0,0,0,0,0,16,7,40,124,53,17,10,6,0,0,249,0,0,10,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,3,0,0,17
80101100219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,6,0,3,5,0,0,0,0,0,0,12,0,3,15,4,0,0,0,0,0,15,0,0,22,6,0,0,0,0,0,28,0,3,22,8,0,0,0,0,0,27,0,4,5,5,0,7,0,0,0,19,0,0,17,7,3,0,0,0,0,31,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,4,0,3,0,0,0,0,0,10,4,25,111,39,9,10,0,0,0,201,0,4,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
80101100220,5,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,18,0,0,10,6,0,0,0,0,0,16,0,0,9,6,0,0,0,0,0,16,0,0,4,4,0,0,0,0,0,9,0,0,3,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,8,49,34,9,7,5,0,0,107,0,0,8,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,0,9,7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,8,4,4,0,0,0,0,21,0,9,11,0,0,3,0,0,0,24,0,4,6,0,0,0,0,0,0,15,0,4,11,0,4,0,0,0,0,25,0,8,13,7,0,0,0,0,0,30,0,7,10,15,7,0,0,0,0,36,0,0,18,8,4,0,0,0,0,30,0,0,3,17,9,5,0,0,0,31,0,0,5,0,0,0,0,0,0,5,0,0,0,4,5,0,0,0,0,8,0,3,6,0,0,0,0,0,0,14,0,45,107,67,27,23,7,5,3,284,0,7,11,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,12
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100224,4,8,4,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,8,6,4,3,0,0,0,0,0,0,16,3,12,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,14,0,11,0,5,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,3,0,5,5,0,0,0,0,0,0,8,0,4,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,52,25,5,0,0,0,0,0,105,3,7,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,0,8,5,8,0,0,0,0,0,0,0,10
80101100225,0,5,5,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,10,0,0,0,4,0,0,18,0,3,7,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,9,0,0,11,0,0,6,0,0,0,18,0,9,9,5,0,0,0,0,0,28,0,5,8,0,4,0,0,0,0,21,0,0,7,3,3,0,3,0,0,17,0,0,12,11,3,4,0,4,0,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,4,5,35,68,24,13,19,11,5,4,190,0,4,4,5,0,0,0,0,0,13,0,4,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8
